number,DATA_EMISSAO,PEDC_DT_CHEGADA,P_PED_CLIENTE,ENTREGA_SIGE,V_TOTAL,V_FRETE,IPMP_VL_MEIO,DECODE(PVC.PEDC_SITUACAO.'C'.',IPI_SKU_ITEM,IPI_V_UNITARIO,IPI_DESC_ITEM
1380,22/08/2016,22/08/2016 21:32:00,63625798,6362579802,383,54,383,Aberto,384168,329,0
1381,22/08/2016,22/08/2016 21:32:00,63625799,6362579901,146.7,6.9,146.7,Liquidado,459895,69.9,0
1382,22/08/2016,22/08/2016 21:32:00,63625800,6362580001,973.99,24.99,973.99,Liquidado,592777,949,0
1383,22/08/2016,22/08/2016 21:32:00,63625801,6362580101,68.9,29,68.9,Liquidado,28687,39.9,0
1384,22/08/2016,22/08/2016 21:32:00,63625802,6362580201,430,22,430,Liquidado,381941,204,0
1385,22/08/2016,22/08/2016 21:32:00,63625802,6362580202,199.8,22,199.8,Liquidado,379022,88.9,0
1386,22/08/2016,22/08/2016 21:32:00,63625803,6362580301,53.9,8,53.9,Liquidado,590839,45.9,0
1387,22/08/2016,22/08/2016 21:32:00,63625804,6362580401,802.8,12.9,802.8,Aberto,588404,789.9,0
1388,22/08/2016,22/08/2016 21:32:00,63625805,6362580501,2414,15,2414,Liquidado,532886,2399,0
1389,22/08/2016,22/08/2016 21:33:00,63625806,6362580601,356,18,356,Aberto,413988,338,0
1390,22/08/2016,22/08/2016 21:33:00,63625807,6362580701,349,0,349,Liquidado,317058,349,0
1391,22/08/2016,22/08/2016 21:33:00,63625808,6362580801,24.9,6,24.9,Liquidado,479592,18.9,0
1392,22/08/2016,22/08/2016 21:33:00,63625809,6362580901,1337.02,17.9,1337.02,Aberto,592114,1499,"179,880,000"
1393,22/08/2016,22/08/2016 21:33:00,63625810,6362581001,229.8,9.9,229.8,Liquidado,504138,219.9,0
1394,22/08/2016,22/08/2016 21:33:00,63625811,6362581101,121.6,7.9,121.6,Aberto,495296,37.9,0
1395,22/08/2016,22/08/2016 21:33:00,63625811,6362581101,121.6,7.9,121.6,Aberto,501097,37.9,0
1396,22/08/2016,22/08/2016 21:33:00,63625812,6362581201,0,0,0,Cancelado,540654,1248.9,"124,890,000"
1397,22/08/2016,22/08/2016 21:33:00,63625813,6362581301,65.65,3.99,65.65,Liquidado,446087,64.9,"3,240,000"
1398,22/08/2016,22/08/2016 21:33:00,63625814,6362581401,1268.9,62,1268.9,Liquidado,829,169.9,0
1399,22/08/2016,22/08/2016 21:33:00,63625814,6362581401,1268.9,62,1268.9,Liquidado,340185,39.9,0
1400,22/08/2016,22/08/2016 21:33:00,63625814,6362581401,1268.9,62,1268.9,Liquidado,340187,69.9,0
1401,22/08/2016,22/08/2016 21:33:00,63625814,6362581401,1268.9,62,1268.9,Liquidado,369492,129,0
1402,22/08/2016,22/08/2016 21:34:00,63625818,6362581801,86.8,6.9,86.8,Liquidado,465098,79.9,0
1403,22/08/2016,22/08/2016 21:34:00,63625819,6362581901,109.9,0,109.9,Liquidado,9160,109.9,0
1404,22/08/2016,22/08/2016 21:34:00,63625822,6362582201,1824,25,1824,Liquidado,105893,1799,0
1405,22/08/2016,22/08/2016 21:34:00,63625825,6362582501,102.9,14,102.9,Liquidado,379022,88.9,0
1406,22/08/2016,22/08/2016 21:34:00,63625826,6362582601,760.8,0,760.8,Liquidado,34160,65.9,0
1407,22/08/2016,22/08/2016 21:34:00,63625826,6362582601,760.8,0,760.8,Liquidado,376678,629,0
1408,22/08/2016,22/08/2016 21:34:00,63625828,6362582801,487.3,7.9,487.3,Liquidado,462090,79.9,0
1409,22/08/2016,22/08/2016 21:34:00,63625829,6362582901,801.9,12.9,801.9,Liquidado,596335,789,0
1410,22/08/2016,22/08/2016 21:35:00,63625831,6362583101,411,12,411,Liquidado,438960,399,0
1411,22/08/2016,22/08/2016 21:35:00,63625832,6362583201,794.9,15.9,794.9,Liquidado,596423,779,0
1412,22/08/2016,22/08/2016 21:35:00,63625834,6362583401,377.9,78,377.9,Liquidado,364152,299.9,0
1413,22/08/2016,22/08/2016 21:35:00,63625835,6362583501,143.9,34,143.9,Liquidado,124318,109.9,0
1414,22/08/2016,22/08/2016 21:35:00,63625837,6362583701,2709,11,2709,Liquidado,376188,2698,0
1415,22/08/2016,22/08/2016 21:35:00,63625838,6362583801,52.9,13,52.9,Liquidado,537091,39.9,0
1416,22/08/2016,22/08/2016 21:35:00,63625839,6362583901,1832,33,1832,Liquidado,105893,1799,0
1417,22/08/2016,22/08/2016 21:35:00,63625840,6362584001,1507.9,8.9,1507.9,Liquidado,596248,1499,0
1418,22/08/2016,22/08/2016 21:35:00,63625841,6362584101,67.9,8,67.9,Liquidado,578500,59.9,0
1419,22/08/2016,22/08/2016 21:35:00,63625843,6362584301,60.9,3.99,60.9,Liquidado,404032,59.9,"2,990,000"
1420,22/08/2016,22/08/2016 21:35:00,63625844,6362584401,767.89,19.99,767.89,Liquidado,342166,747.9,0
1421,22/08/2016,22/08/2016 21:35:00,63625845,6362584501,1769.1,15,1769.1,Liquidado,532880,1949,"194,900,000"
1422,22/08/2016,22/08/2016 21:35:00,63625847,6362584701,109.9,0,109.9,Liquidado,9160,109.9,0
1423,22/08/2016,22/08/2016 21:36:00,63625851,6362585101,802.8,12.9,802.8,Liquidado,588404,789.9,0
1424,22/08/2016,22/08/2016 21:36:00,63625852,6362585201,1118.99,9.99,1118.99,Liquidado,543795,1109,0
1425,22/08/2016,22/08/2016 21:36:00,63625854,6362585401,1848.9,0,1848.9,Liquidado,281563,1848.9,0
1426,22/08/2016,22/08/2016 21:36:00,63625857,6362585701,797.99,19.99,797.99,Liquidado,126310,778,0
1427,22/08/2016,22/08/2016 21:36:00,63625859,6362585901,52.71,16,52.71,Liquidado,506115,39.9,"3,190,000"
1428,22/08/2016,22/08/2016 21:36:00,63625861,6362586101,2624.9,25.9,1200,Liquidado,596252,2599,0
1429,22/08/2016,22/08/2016 21:36:00,63625861,6362586101,2624.9,25.9,1424.9,Liquidado,596252,2599,0
1430,22/08/2016,22/08/2016 21:36:00,63625862,6362586201,2420,21,2420,Liquidado,532881,2399,0
1431,22/08/2016,22/08/2016 21:36:00,63625863,6362586301,344,15,344,Liquidado,384168,329,0
1432,22/08/2016,22/08/2016 21:36:00,63625863,6362586302,189,3,189,Liquidado,35865,186,0
1433,22/08/2016,22/08/2016 21:36:00,63625865,6362586501,550.89,0.99,550.89,Liquidado,379497,549.9,0
1434,22/08/2016,22/08/2016 21:36:00,63625866,6362586601,537,9,537,Liquidado,111398,528,0
1435,22/08/2016,22/08/2016 21:37:00,63625868,6362586801,276.9,57,276.9,Liquidado,28690,219.9,0
1436,22/08/2016,22/08/2016 21:37:00,63625869,6362586901,114.99,5.99,114.99,Aberto,485652,109,0
1437,22/08/2016,22/08/2016 21:37:00,63625869,6362586902,1910,12,1910,Liquidado,438048,1898,0
1438,22/08/2016,22/08/2016 21:37:00,63625872,6362587201,434.44,15,434.44,Liquidado,7844,428,"8,560,000"
1439,22/08/2016,22/08/2016 21:37:00,63625874,6362587401,814.9,25.9,814.9,Liquidado,596335,789,0
1440,22/08/2016,22/08/2016 21:37:00,63625875,6362587501,127.4,3.99,127.4,Aberto,446091,129.9,"6,490,000"
1441,22/08/2016,22/08/2016 21:37:00,63625878,6362587801,0,0,895.9,Cancelado,594822,874.9,0
1442,22/08/2016,22/08/2016 21:37:00,63625879,6362587901,2718.99,19.99,2718.99,Liquidado,540587,2699,0
1443,22/08/2016,22/08/2016 21:37:00,63625880,6362588001,1525.9,26.9,1525.9,Liquidado,586858,1499,0
1444,22/08/2016,22/08/2016 21:37:00,63625881,6362588101,529,0,529,Liquidado,588405,529,0
1445,22/08/2016,22/08/2016 21:37:00,63625882,6362588201,351.1,10,351.1,Liquidado,105884,379,"37,900,000"
1446,22/08/2016,22/08/2016 21:37:00,63625883,6362588301,134.7,7.9,134.7,Liquidado,525871,63.4,0
1447,22/08/2016,22/08/2016 21:37:00,63625884,6362588401,62.9,16,62.9,Liquidado,410075,46.9,0
1448,22/08/2016,22/08/2016 21:37:00,63625884,6362588402,60,16,60,Liquidado,103506,44,0
1449,22/08/2016,22/08/2016 21:37:00,63625887,6362588701,1621,22,1621,Liquidado,590918,1599,0
1450,22/08/2016,22/08/2016 21:37:00,63625888,6362588801,906,7,906,Liquidado,418615,899,0
1451,22/08/2016,22/08/2016 21:37:00,63625889,6362588901,83.7,7.9,83.7,Aberto,495296,37.9,0
1452,22/08/2016,22/08/2016 21:37:00,63625890,6362589001,1344,15,1344,Liquidado,532879,1329,0
1453,22/08/2016,22/08/2016 21:37:00,63625891,6362589101,279,8,279,Liquidado,585893,271,0
1454,22/08/2016,22/08/2016 21:38:00,63625892,6362589201,409.6,19.9,409.6,Aberto,490418,389.7,0
1455,22/08/2016,22/08/2016 21:38:00,63625893,6362589301,341,42,341,Liquidado,400717,299,0
1456,22/08/2016,22/08/2016 21:38:00,63625894,6362589401,907.9,8.9,907.9,Aberto,542576,899,0
1457,22/08/2016,22/08/2016 21:38:00,63625895,6362589501,222.4,15.9,222.4,Liquidado,380675,54.9,0
1458,22/08/2016,22/08/2016 21:38:00,63625895,6362589501,222.4,15.9,222.4,Liquidado,495295,37.9,0
1459,22/08/2016,22/08/2016 21:38:00,63625895,6362589502,79.9,11,79.9,Liquidado,247272,68.9,0
1460,22/08/2016,22/08/2016 21:38:00,63625897,6362589701,500.55,14.99,500.55,Aberto,489171,269.75,"26,970,000"
1461,22/08/2016,22/08/2016 21:38:00,63625899,6362589901,62,4,62,Liquidado,357079,58,0
1462,22/08/2016,22/08/2016 21:38:00,63625900,6362590001,1394.15,19.99,1394.15,Aberto,258447,1526.84,"152,680,000"
1463,22/08/2016,22/08/2016 21:38:00,63625903,6362590301,213.3,15.9,213.3,Liquidado,541966,37.5,0
1464,22/08/2016,22/08/2016 21:38:00,63625903,6362590301,213.3,15.9,213.3,Liquidado,542213,84.9,0
1465,22/08/2016,22/08/2016 21:38:00,63625904,6362590401,1872.24,15,1872.24,Liquidado,344037,515.9,"51,590,000"
1466,22/08/2016,22/08/2016 21:38:00,63625906,6362590601,64.9,17,64.9,Liquidado,555921,47.9,0
1467,22/08/2016,22/08/2016 21:38:00,63625907,6362590701,208.7,10.9,208.7,Liquidado,492562,80.9,0
1468,22/08/2016,22/08/2016 21:38:00,63625907,6362590701,208.7,10.9,208.7,Liquidado,492564,79.9,0
1469,22/08/2016,22/08/2016 21:38:00,63625907,6362590701,208.7,10.9,208.7,Liquidado,500168,37,0
1470,22/08/2016,22/08/2016 21:38:00,63625909,6362590901,128.9,9.9,128.9,Liquidado,591052,119,0
1471,22/08/2016,22/08/2016 21:39:00,63625910,6362591001,149.9,0,149.9,Liquidado,534289,149.9,0
1472,22/08/2016,22/08/2016 21:39:00,63625910,6362591002,259,11,259,Liquidado,6174,248,0
1473,22/08/2016,22/08/2016 21:39:00,63625912,6362591201,279.9,10,279.9,Liquidado,545043,269.9,0
1474,22/08/2016,22/08/2016 21:39:00,63625913,6362591301,299,0,299,Liquidado,524965,299,0
1475,22/08/2016,22/08/2016 21:39:00,63625914,6362591401,986.1,14.98,986.1,Liquidado,489171,269.75,"26,970,000"
1476,22/08/2016,22/08/2016 21:39:00,63625915,6362591501,798.99,9.99,798.99,Liquidado,596335,789,0
1477,22/08/2016,22/08/2016 21:39:00,63625916,6362591601,221,12,221,Liquidado,507053,209,0
1478,22/08/2016,22/08/2016 21:39:00,63625917,6362591701,3999,0,3999,Liquidado,591666,3999,0
1479,22/08/2016,22/08/2016 21:39:00,63625917,6362591702,539.9,0,539.9,Liquidado,438990,539.9,0
1480,22/08/2016,22/08/2016 21:39:00,63625917,6362591703,2098.9,0,2098.9,Liquidado,404856,2098.9,0
1481,22/08/2016,22/08/2016 21:39:00,63625919,6362591901,24.9,6,24.9,Aberto,479592,18.9,0
1482,22/08/2016,22/08/2016 21:39:00,63625920,6362592001,599.9,0,599.9,Liquidado,530626,599.9,0
1483,22/08/2016,22/08/2016 21:39:00,63625923,6362592301,168.5,19.9,168.5,Aberto,380729,54.9,0
1484,22/08/2016,22/08/2016 21:39:00,63625923,6362592301,168.5,19.9,168.5,Aberto,380732,54.9,0
1485,22/08/2016,22/08/2016 21:39:00,63625923,6362592301,168.5,19.9,168.5,Aberto,544201,29.9,0
1486,22/08/2016,22/08/2016 21:39:00,63625923,6362592301,168.5,19.9,168.5,Aberto,594948,8.9,0
1487,22/08/2016,22/08/2016 21:39:00,63625924,6362592401,69.9,7.9,69.9,Aberto,591955,62,0
1488,22/08/2016,22/08/2016 21:39:00,63625925,6362592501,86.99,12,86.99,Liquidado,402511,74.99,0
1489,22/08/2016,22/08/2016 21:40:00,63625926,6362592601,0,0,437.9,Cancelado,588898,429,0
1490,22/08/2016,22/08/2016 21:40:00,63625929,6362592901,1513,14,1513,Aberto,572498,149.9,0
1491,22/08/2016,22/08/2016 21:40:00,63625933,6362593301,147.31,16,147.31,Liquidado,544119,145.9,"14,590,000"
1492,22/08/2016,22/08/2016 21:40:00,63625934,6362593401,313.2,0,313.2,Liquidado,583291,174,"17,400,000"
1493,22/08/2016,22/08/2016 21:40:00,63625935,6362593501,112,13,112,Liquidado,495434,99,0
1494,22/08/2016,22/08/2016 21:40:00,63625936,6362593601,334.9,7.9,334.9,Liquidado,380683,54.5,0
1495,22/08/2016,22/08/2016 21:40:00,63625936,6362593601,334.9,7.9,334.9,Liquidado,380733,54.5,0
1496,22/08/2016,22/08/2016 21:41:00,63625937,6362593701,2964.98,48.99,2964.98,Liquidado,99604,847.99,0
1497,22/08/2016,22/08/2016 21:41:00,63625937,6362593701,2964.98,48.99,2964.98,Liquidado,495756,2068,0
1498,22/08/2016,22/08/2016 21:41:00,63625938,6362593801,227.8,7.9,227.8,Liquidado,7195,219.9,0
1499,22/08/2016,22/08/2016 21:41:00,63625939,6362593901,165.09,0,165.09,Liquidado,480699,139.9,"6,990,000"
1500,22/08/2016,22/08/2016 21:41:00,63625939,6362593901,165.09,0,165.09,Liquidado,480701,33.87,"1,690,000"
1501,22/08/2016,22/08/2016 21:41:00,63625939,6362593902,265.91,0,265.91,Liquidado,403235,279.9,"13,990,000"
1502,22/08/2016,22/08/2016 21:41:00,63625941,6362594101,1718.99,19.99,1718.99,Liquidado,591027,1699,0
1503,22/08/2016,22/08/2016 21:41:00,63625943,6362594301,237.9,8,237.9,Liquidado,588684,229.9,0
1504,22/08/2016,22/08/2016 21:41:00,63625944,6362594401,599.6,20,599.6,Liquidado,344046,322,"32,200,000"
1505,22/08/2016,22/08/2016 21:42:00,63625945,6362594501,450,21,450,Liquidado,423208,429,0
1506,22/08/2016,22/08/2016 21:42:00,63625946,6362594601,383,5,383,Liquidado,453135,378,0
1507,22/08/2016,22/08/2016 21:42:00,63625947,6362594701,3512.99,14.99,3512.99,Liquidado,549722,3498,0
1508,22/08/2016,22/08/2016 21:42:00,63625950,6362595001,176.6,20,176.6,Liquidado,583291,174,"17,400,000"
1509,22/08/2016,22/08/2016 21:42:00,63625951,6362595101,2006.94,7.94,2006.94,Liquidado,525626,1999,0
1510,22/08/2016,22/08/2016 21:42:00,63625951,6362595102,83.76,7.96,83.76,Liquidado,359401,37.9,0
1511,22/08/2016,22/08/2016 21:42:00,63625953,6362595301,81.1,10,81.1,Liquidado,379727,71.1,0
1512,22/08/2016,22/08/2016 21:42:00,63625955,6362595501,48.8,12.9,48.8,Liquidado,33594,35.9,0
1513,22/08/2016,22/08/2016 21:42:00,63625956,6362595601,908.99,9.99,17.89,Liquidado,595984,899,0
1514,22/08/2016,22/08/2016 21:42:00,63625956,6362595601,908.99,9.99,891.1,Liquidado,595984,899,0
1515,22/08/2016,22/08/2016 21:42:00,63625957,6362595701,1320.9,21,1320.9,Liquidado,590295,1299.9,0
1516,22/08/2016,22/08/2016 21:42:00,63625958,6362595801,34.42,7,34.42,Liquidado,443734,14.9,"1,190,000"
1517,22/08/2016,22/08/2016 21:42:00,63625959,6362595901,134.9,5,134.9,Liquidado,596426,129.9,0
1518,22/08/2016,22/08/2016 21:43:00,63625961,6362596101,788.99,9.99,788.99,Liquidado,596423,779,0
1519,22/08/2016,22/08/2016 21:43:00,63625962,6362596201,282.4,7.9,282.4,Liquidado,380738,54.9,0
1520,22/08/2016,22/08/2016 21:43:00,63625963,6362596301,225,26,225,Liquidado,578620,199,0
1521,22/08/2016,22/08/2016 21:43:00,63625965,6362596501,175,17,175,Liquidado,435394,158,0
1522,22/08/2016,22/08/2016 21:43:00,63625970,6362597001,152,14,152,Liquidado,377024,138,0
1523,22/08/2016,22/08/2016 21:43:00,63625971,6362597101,30.9,6,30.9,Liquidado,405111,24.9,0
1524,22/08/2016,22/08/2016 21:43:00,63625972,6362597201,1334.9,86,1334.9,Liquidado,540654,1248.9,0
1525,22/08/2016,22/08/2016 21:43:00,63625973,6362597301,794.9,15.9,794.9,Liquidado,596423,779,0
1526,22/08/2016,22/08/2016 21:43:00,63625976,6362597601,451,12,451,Liquidado,479458,439,0
1527,22/08/2016,22/08/2016 21:43:00,63625979,6362597901,259.9,7.9,259.9,Aberto,488108,252,0
1528,22/08/2016,22/08/2016 21:43:00,63625981,6362598101,2167.64,80,2167.64,Liquidado,590198,579.9,"57,990,000"
1529,22/08/2016,22/08/2016 21:43:00,63625982,6362598201,66.8,6.9,66.8,Aberto,591140,59.9,0
1530,22/08/2016,22/08/2016 21:43:00,63625983,6362598301,121.32,3,121.32,Liquidado,375732,118.32,0
1531,22/08/2016,22/08/2016 21:44:00,63625986,6362598601,198.9,19,198.9,Liquidado,589806,179.9,0
1532,22/08/2016,22/08/2016 21:44:00,63625989,6362598901,129.8,20,129.8,Liquidado,415479,54.9,0
1533,22/08/2016,22/08/2016 21:44:00,63625992,6362599201,1339,10,1339,Liquidado,532879,1329,0
1534,22/08/2016,22/08/2016 21:44:00,63625994,6362599401,493.9,12,493.9,Liquidado,485723,481.9,0
1535,22/08/2016,22/08/2016 21:44:00,63625995,6362599501,563.52,30,563.52,Liquidado,91921,136.9,"13,690,000"
1536,22/08/2016,22/08/2016 21:44:00,63625995,6362599501,563.52,30,563.52,Liquidado,275724,206.9,"20,690,000"
1537,22/08/2016,22/08/2016 21:44:00,63625995,6362599501,563.52,30,563.52,Liquidado,417825,249,"24,900,000"
1538,22/08/2016,22/08/2016 21:44:00,63625996,6362599601,350.91,9,350.91,Liquidado,363386,379.9,"37,990,000"
1539,22/08/2016,22/08/2016 21:44:00,63625997,6362599701,1263.89,14.99,1263.89,Liquidado,540653,1248.9,0
1540,22/08/2016,22/08/2016 21:44:00,63625999,6362599901,48.05,14.96,48.05,Liquidado,401156,36.74,"3,650,000"
1541,22/08/2016,22/08/2016 21:44:00,63625999,6362599902,647.12,0,647.12,Liquidado,583290,179.75,"17,970,000"
1542,22/08/2016,22/08/2016 21:45:00,63626000,6362600001,226.8,6.9,226.8,Liquidado,504138,219.9,0
1543,22/08/2016,22/08/2016 21:45:00,63626003,6362600301,66.8,6.9,66.8,Aberto,591140,59.9,0
1544,22/08/2016,22/08/2016 21:45:00,63626004,6362600401,883.8,8.9,883.8,Liquidado,594822,874.9,0
1545,22/08/2016,22/08/2016 21:45:00,63626005,6362600501,1026.1,126.98,1026.1,Liquidado,489166,249.75,"24,970,000"
1546,22/08/2016,22/08/2016 21:46:00,63626008,6362600801,797.99,19.99,797.99,Liquidado,126310,778,0
1547,22/08/2016,22/08/2016 21:46:00,63626010,6362601001,387.9,38,387.9,Liquidado,555902,349.9,0
1548,22/08/2016,22/08/2016 21:46:00,63626011,6362601101,101.41,16,101.41,Aberto,539039,89.9,"4,490,000"
1549,22/08/2016,22/08/2016 21:46:00,63626012,6362601201,61.9,12,61.9,Aberto,592839,49.9,0
1550,22/08/2016,22/08/2016 21:46:00,63626013,6362601301,1319.9,20,1319.9,Liquidado,590295,1299.9,0
1551,22/08/2016,22/08/2016 21:46:00,63626014,6362601401,161.41,22,161.41,Liquidado,276733,154.9,"15,490,000"
1552,22/08/2016,22/08/2016 21:46:00,63626015,6362601501,66.8,6.9,66.8,Aberto,591140,59.9,0
1553,22/08/2016,22/08/2016 21:46:00,63626016,6362601601,1339,10,1339,Aberto,532879,1329,0
1554,22/08/2016,22/08/2016 21:46:00,63626019,6362601901,38.1,3.99,38.1,Liquidado,376558,35.9,"1,790,000"
1555,22/08/2016,22/08/2016 21:46:00,63626020,6362602001,203.99,5.99,203.99,Liquidado,483029,198,0
1556,22/08/2016,22/08/2016 21:46:00,63626021,6362602101,311.9,12,311.9,Liquidado,472571,299.9,0
1557,22/08/2016,22/08/2016 21:46:00,63626023,6362602301,376.8,17,376.8,Liquidado,526727,179.9,0
1558,22/08/2016,22/08/2016 21:47:00,63626024,6362602401,109.05,15,109.05,Liquidado,553,99,"4,950,000"
1559,22/08/2016,22/08/2016 21:47:00,63626025,6362602501,972.9,44,972.9,Liquidado,395372,928.9,0
1560,22/08/2016,22/08/2016 21:47:00,63626026,6362602601,506.8,19,506.8,Liquidado,363888,69.9,0
1561,22/08/2016,22/08/2016 21:47:00,63626026,6362602601,506.8,19,506.8,Liquidado,416874,348,0
1562,22/08/2016,22/08/2016 21:47:00,63626027,6362602701,1102.9,8.9,1102.9,Liquidado,588815,547,0
1563,22/08/2016,22/08/2016 21:47:00,63626029,6362602901,518.9,19,518.9,Liquidado,544233,499.9,0
1564,22/08/2016,22/08/2016 21:47:00,63626032,6362603201,482,33,482,Aberto,467177,449,0
1565,22/08/2016,22/08/2016 21:47:00,63626034,6362603401,429.9,0,429.9,Liquidado,535895,429.9,0
1566,22/08/2016,22/08/2016 21:47:00,63626036,6362603601,801.9,12.9,801.9,Liquidado,596335,789,0
1567,22/08/2016,22/08/2016 21:47:00,63626041,6362604101,1149.92,23.9,1149.92,Liquidado,543799,1149,"22,980,000"
1568,22/08/2016,22/08/2016 21:47:00,63626043,6362604301,1770,21,1770,Liquidado,595079,1749,0
1569,22/08/2016,22/08/2016 21:48:00,63626047,6362604701,779.9,10,779.9,Liquidado,490331,769.9,0
1570,22/08/2016,22/08/2016 21:48:00,63626049,6362604901,1653.99,24.99,1653.99,Liquidado,582345,1629,0
1571,22/08/2016,22/08/2016 21:48:00,63626050,6362605001,899,0,899,Liquidado,595984,899,0
1572,22/08/2016,22/08/2016 21:49:00,63626053,6362605301,253.8,14,253.8,Liquidado,316581,119.9,0
1573,22/08/2016,22/08/2016 21:49:00,63626054,6362605401,102.99,3.99,102.99,Liquidado,365217,99,0
1574,22/08/2016,22/08/2016 21:49:00,63626059,6362605901,228,0,228,Liquidado,243,228,0
1575,22/08/2016,22/08/2016 21:49:00,63626060,6362606001,359,0,359,Liquidado,417304,359,0
1576,22/08/2016,22/08/2016 21:49:00,63626061,6362606101,914.9,15.9,914.9,Aberto,542574,899,0
1577,22/08/2016,22/08/2016 21:49:00,63626062,6362606201,183.1,67,183.1,Aberto,443969,129,"12,900,000"
1578,22/08/2016,22/08/2016 21:49:00,63626063,6362606301,1807.9,8.9,1807.9,Liquidado,543608,1799,0
1579,22/08/2016,22/08/2016 21:49:00,63626065,6362606501,83.7,7.9,83.7,Liquidado,495296,37.9,0
1580,22/08/2016,22/08/2016 21:49:00,63626067,6362606701,168,10,168,Liquidado,435394,158,0
1581,22/08/2016,22/08/2016 21:49:00,63626068,6362606801,729.9,0,729.9,Aberto,490330,729.9,0
1582,22/08/2016,22/08/2016 21:50:00,63626069,6362606901,2414,15,2414,Liquidado,532886,2399,0
1583,22/08/2016,22/08/2016 21:50:00,63626071,6362607101,227.5,7.9,227.5,Liquidado,380732,54.9,0
1584,22/08/2016,22/08/2016 21:50:00,63626072,6362607201,148.76,24,148.76,Liquidado,447319,33.9,"2,710,000"
1585,22/08/2016,22/08/2016 21:50:00,63626073,6362607301,128.21,5,128.21,Liquidado,91922,136.9,"13,690,000"
1586,22/08/2016,22/08/2016 21:50:00,63626074,6362607401,2090.21,194,2090.21,Aberto,220280,2106.9,"210,690,000"
1587,22/08/2016,22/08/2016 21:50:00,63626075,6362607501,120.4,7.9,120.4,Liquidado,541968,37.5,0
1588,22/08/2016,22/08/2016 21:51:00,63626076,6362607601,114.8,14.9,114.8,Liquidado,364665,99.9,0
1589,22/08/2016,22/08/2016 21:51:00,63626077,6362607701,175,7,175,Aberto,439736,168,0
1590,22/08/2016,22/08/2016 21:51:00,63626078,6362607801,2028.99,29.99,2028.99,Liquidado,587050,15,0
1591,22/08/2016,22/08/2016 21:51:00,63626078,6362607801,2028.99,29.99,2028.99,Liquidado,587589,15,0
1592,22/08/2016,22/08/2016 21:51:00,63626078,6362607801,2028.99,29.99,2028.99,Liquidado,587590,8,0
1593,22/08/2016,22/08/2016 21:51:00,63626078,6362607801,2028.99,29.99,2028.99,Liquidado,588399,1961,0
1594,22/08/2016,22/08/2016 21:51:00,63626078,6362607802,528.99,19.99,528.99,Liquidado,595965,509,0
1595,22/08/2016,22/08/2016 21:51:00,63626079,6362607901,894.9,15.9,894.9,Liquidado,596872,879,0
1596,22/08/2016,22/08/2016 21:51:00,63626080,6362608001,91.9,12,91.9,Liquidado,465098,79.9,0
1597,22/08/2016,22/08/2016 21:51:00,63626082,6362608201,79.36,11,79.36,Liquidado,386387,11.8,0.94
1598,22/08/2016,22/08/2016 21:51:00,63626082,6362608201,79.36,11,79.36,Liquidado,505408,17.1,"1,360,000"
1599,22/08/2016,22/08/2016 21:51:00,63626082,6362608201,79.36,11,79.36,Liquidado,505410,5.58,0.44
1600,22/08/2016,22/08/2016 21:51:00,63626083,6362608301,199.9,0,199.9,Liquidado,292809,199.9,0
1601,22/08/2016,22/08/2016 21:51:00,63626085,6362608501,1312.9,64,1312.9,Liquidado,540653,1248.9,0
1602,22/08/2016,22/08/2016 21:51:00,63626088,6362608801,323.99,24.99,323.99,Liquidado,389013,299,0
1603,22/08/2016,22/08/2016 21:51:00,63626089,6362608901,102.99,3.99,102.99,Liquidado,365217,99,0
1604,22/08/2016,22/08/2016 21:51:00,63626092,6362609201,69.8,9.9,69.8,Liquidado,375070,59.9,0
1605,22/08/2016,22/08/2016 21:52:00,63626094,6362609401,1335.02,15.9,1335.02,Aberto,596566,1499,"179,880,000"
1606,22/08/2016,22/08/2016 21:52:00,63626096,6362609601,1106.02,12.9,1106.02,Liquidado,592113,1299,"205,880,000"
1607,22/08/2016,22/08/2016 21:52:00,63626098,6362609801,412,14,412,Liquidado,543784,398,0
1608,22/08/2016,22/08/2016 21:52:00,63626099,6362609901,471,52,471,Liquidado,538357,419,0
1609,22/08/2016,22/08/2016 21:52:00,63626100,6362610001,89.9,20,89.9,Liquidado,275676,69.9,0
1610,22/08/2016,22/08/2016 21:52:00,63626101,6362610101,276.9,7,276.9,Liquidado,545043,269.9,0
1611,22/08/2016,22/08/2016 21:52:00,63626101,6362610102,79.9,0,79.9,Liquidado,347437,79.9,0
1612,22/08/2016,22/08/2016 21:52:00,63626102,6362610201,1770,21,1770,Liquidado,595079,1749,0
1613,22/08/2016,22/08/2016 21:52:00,63626103,6362610301,732.89,19.99,732.89,Liquidado,342166,747.9,"35,000,000"
1614,22/08/2016,22/08/2016 21:52:00,63626104,6362610401,749.9,0,749.9,Aberto,462530,749.9,0
1615,22/08/2016,22/08/2016 21:52:00,63626105,6362610501,1694.89,14.99,1694.89,Liquidado,110612,1679.9,0
1616,22/08/2016,22/08/2016 21:52:00,63626106,6362610601,255.6,15.9,255.6,Liquidado,492565,79.9,0
1617,22/08/2016,22/08/2016 21:53:00,63626112,6362611201,1757,59,1757,Liquidado,593828,1698,0
1618,22/08/2016,22/08/2016 21:53:00,63626116,6362611601,202,7,202,Aberto,375202,195,0
1619,22/08/2016,22/08/2016 21:53:00,63626117,6362611701,1069,21,1069,Aberto,285326,1048,0
